 key power count count/pt.repeats_count power/pt.repeats_power
jв 797 490.915482 0.0065877 0.00251878
jк 1067 807.181033 0.00881942 0.00414147
jл 686 260.513654 0.00567022 0.00133664
jм 485 311.204182 0.00400883 0.00159672
jн 1895 2599.089537 0.0156634 0.0133354
jп 713 353.545637 0.00589339 0.00181397
jр 896 465.925511 0.007406 0.00239056
jс 1220 738.437632 0.0100841 0.00378876
jт 1468 1097.392246 0.0121339 0.00563048
jтс 9 0.011768 7.43906e-05 6.0378e-08
jц 65 7.532688 0.000537266 3.86486e-05
jч 683 310.612409 0.00564542 0.00159369
вк 1987 2301.094454 0.0164238 0.0118064
вл 1898 2483.264704 0.0156882 0.0127411
вм 941 522.040437 0.00777795 0.00267848
вн 2584 4551.664885 0.0213584 0.0233536
вп 1292 1080.904749 0.0106792 0.00554589
вр 1948 2842.187259 0.0161014 0.0145827
вс 3873 8883.723357 0.0320128 0.0455805
вт 3989 8027.000420 0.0329716 0.0411848
втс 56 11.790786 0.000462875 6.0496e-05
вц 205 90.712347 0.00169445 0.000465426
вч 1180 972.691916 0.00975344 0.00499067
кл 2661 4510.968680 0.0219948 0.0231448
км 1397 1283.134338 0.0115471 0.00658349
кн 3314 6190.022946 0.0273923 0.0317597
кп 1748 1858.596592 0.0144483 0.00953606
кр 2840 6346.217580 0.0234744 0.0325611
кс 3634 6040.758330 0.0300373 0.0309938
кт 4143 7706.998292 0.0342445 0.0395429
ктс 44 3.015531 0.000363687 1.5472e-05
кц 152 27.440791 0.00125637 0.000140793
кч 1458 1347.764954 0.0120513 0.00691509
лм 1214 1271.202361 0.0100345 0.00652227
лн 2394 2750.839885 0.0197879 0.014114
лп 2327 4905.479661 0.0192341 0.025169
лр 900 411.357821 0.00743906 0.00211059
лс 3328 6392.719815 0.027508 0.0327997
лт 3118 5359.982388 0.0257722 0.0275009
лтс 26 2.579336 0.000214906 1.3234e-05
лц 183 55.714925 0.00151261 0.000285861
лч 1505 1757.816111 0.0124398 0.00901898
мн 2250 4050.973718 0.0185977 0.0207847
мп 864 545.243326 0.0071415 0.00279753
мр 1011 856.619372 0.00835655 0.00439513
мс 1799 2230.609918 0.0148699 0.0114448
мт 2260 3129.489432 0.0186803 0.0160567
мтс 10 0.017590 8.26562e-05 9.02517e-08
мц 92 11.403177 0.000760437 5.85072e-05
мч 971 846.063758 0.00802592 0.00434097
нп 1931 2216.585374 0.0159609 0.0113728
нр 2057 2139.284425 0.0170024 0.0109762
нс 3887 8187.537150 0.0321285 0.0420085
нт 4859 10411.232939 0.0401627 0.0534178
нтс 33 4.299831 0.000272766 2.20615e-05
нц 245 78.352436 0.00202508 0.000402009
нч 2397 4215.287910 0.0198127 0.0216277
пр 2953 7967.793624 0.0244084 0.040881
пс 2323 4064.259114 0.019201 0.0208528
пт 2928 4746.165180 0.0242017 0.0243516
птс 30 0.461021 0.000247969 2.3654e-06
пц 100 21.216026 0.000826562 0.000108855
пч 1026 690.283308 0.00848053 0.0035417
рс 2851 4924.985654 0.0235653 0.025269
рт 4205 9747.016856 0.0347569 0.0500098
ртс 18 1.389630 0.000148781 7.12989e-06
рц 262 104.793857 0.00216559 0.000537675
рч 1089 1021.075786 0.00900126 0.00523892
ст 6510 18320.404530 0.0538092 0.0939981
стс 39 3.858732 0.000322359 1.97983e-05
сц 193 53.853270 0.00159527 0.00027631
сч 1494 1310.001635 0.0123488 0.00672134
тсч 22 4.372440 0.000181844 2.2434e-05
ттс 70 33.787882 0.000578594 0.000173358
тц 338 204.270662 0.00279378 0.00104807
тч 3015 5238.851862 0.0249209 0.0268794
цч 42 1.141882 0.000347156 5.85875e-06
