 key power count count/pt.repeats_count power/pt.repeats_power
jв 84 43.998373 0.00504626 0.00149504
jк 118 82.430866 0.00708879 0.00280095
jл 59 9.680548 0.0035444 0.000328939
jм 35 13.631400 0.00210261 0.000463186
jн 113 105.798125 0.00678842 0.00359495
jп 138 234.938318 0.00829028 0.00798306
jр 88 28.412709 0.00528656 0.000965446
jс 151 140.157819 0.00907125 0.00476247
jт 175 77.138648 0.010513 0.00262112
jц 8 0.089473 0.000480596 3.04022e-06
jч 53 17.191645 0.00318395 0.000584161
вк 317 367.710768 0.0190436 0.0124946
вл 275 467.551939 0.0165205 0.0158871
вм 140 108.051187 0.00841043 0.00367151
вн 302 373.692976 0.0181425 0.0126979
вп 165 141.779555 0.00991229 0.00481758
вр 334 371.962761 0.0200649 0.0126391
вс 601 1365.127588 0.0361048 0.0463862
вт 748 3095.042468 0.0449357 0.105168
втс 13 0.889169 0.000780968 3.02134e-05
вц 57 17.890237 0.00342425 0.000607899
вч 143 77.008555 0.00859065 0.0026167
кл 369 708.955561 0.0221675 0.0240899
км 149 103.024239 0.0089511 0.0035007
кн 387 622.990300 0.0232488 0.0211688
кп 241 364.909283 0.014478 0.0123994
кр 458 1149.108121 0.0275141 0.039046
кс 460 831.434773 0.0276343 0.0282516
кт 624 1071.472359 0.0374865 0.036408
ктс 3 0.006066 0.000180223 2.06125e-07
кц 29 8.743541 0.00174216 0.0002971
кч 281 419.884390 0.0168809 0.0142674
лм 107 110.398085 0.00642797 0.00375126
лн 265 304.926366 0.0159197 0.0103612
лп 337 721.686239 0.0202451 0.0245224
лр 180 95.269146 0.0108134 0.00323719
лс 447 994.597810 0.0268533 0.0337958
лт 506 1276.916412 0.0303977 0.0433888
лтс 13 22.281584 0.000780968 0.000757114
лц 40 12.832559 0.00240298 0.000436042
лч 197 145.497785 0.0118347 0.00494392
мн 201 409.170017 0.012075 0.0139033
мп 95 51.017815 0.00570708 0.00173355
мр 198 285.110153 0.0118947 0.00968786
мс 159 173.950957 0.00955184 0.00591074
мт 229 226.621844 0.0137571 0.00770047
мтс 1 0.000000 6.00745e-05 0
мц 26 8.771588 0.00156194 0.000298053
мч 86 28.784371 0.00516641 0.000978075
нп 179 170.854850 0.0107533 0.00580554
нр 191 140.552149 0.0114742 0.00477587
нс 392 636.585856 0.0235492 0.0216308
нт 586 1349.003345 0.0352037 0.0458383
нтс 11 3.776080 0.000660819 0.000128309
нц 40 44.985713 0.00240298 0.00152859
нч 164 236.303189 0.00985222 0.00802943
пр 403 887.683191 0.02421 0.0301629
пс 332 542.729618 0.0199447 0.0184416
пт 520 1139.820205 0.0312387 0.0387304
птс 7 0.185265 0.000420521 6.29518e-06
пц 20 3.229605 0.00120149 0.00010974
пч 120 91.347588 0.00720894 0.00310393
рс 429 639.089170 0.025772 0.0217158
рт 648 1266.870615 0.0389283 0.0430475
рц 128 213.899860 0.00768954 0.00726818
рч 130 213.801317 0.00780968 0.00726483
ст 1118 3802.920470 0.0671633 0.129221
стс 15 10.709437 0.000901117 0.0003639
сц 30 1.276035 0.00180223 4.33589e-05
сч 150 66.780648 0.00901117 0.00226916
тсч 7 0.139907 0.000420521 4.75396e-06
ттс 7 0.076897 0.000420521 2.61292e-06
тц 97 48.965723 0.00582723 0.00166382
тч 361 546.051127 0.0216869 0.0185545
цч 9 0.118393 0.00054067 4.02291e-06
